CAMIS,GRADE,BORO
40375929,0,BROOKLYN
40375972,0,BROOKLYN
40376029,0,QUEENS
40376031,0,MANHATTAN
40376039,0,MANHATTAN
40376077,0,QUEENS
40376121,0,MANHATTAN
40376142,0,MANHATTAN
40376204,0,QUEENS
40376290,0,STATEN ISLAND
40376352,0,MANHATTAN
40376493,0,MANHATTAN
40376495,0,BROOKLYN
40376496,0,MANHATTAN
40376515,0,MANHATTAN
40376583,0,STATEN ISLAND
40376635,1,BROOKLYN
40376687,1,MANHATTAN
40376718,0,MANHATTAN
40376735,0,MANHATTAN
40376933,0,QUEENS
40376944,1,MANHATTAN
40377124,0,BRONX
40377164,0,QUEENS
40377243,1,BRONX
40377262,0,STATEN ISLAND
40377294,0,QUEENS
40377299,0,MANHATTAN
40377325,0,MANHATTAN
40377385,0,QUEENS
40377506,0,BROOKLYN
40377560,0,QUEENS
40377630,0,MANHATTAN
40377698,0,MANHATTAN
40377789,0,MANHATTAN
40377908,0,QUEENS
40378035,0,QUEENS
40378136,1,MANHATTAN
40378190,0,QUEENS
40378212,0,MANHATTAN
40378328,0,BROOKLYN
40378347,0,BRONX
40378383,0,BROOKLYN
40378534,0,QUEENS
40378571,0,MANHATTAN
40378579,1,MANHATTAN
40378585,0,QUEENS
40378719,0,QUEENS
40378729,0,MANHATTAN
40378774,1,QUEENS
40378796,0,BROOKLYN
40378822,1,STATEN ISLAND
40378827,1,BROOKLYN
40378874,0,MANHATTAN
40378970,0,MANHATTAN
40379026,0,QUEENS
40379149,0,MANHATTAN
40379304,0,MANHATTAN
40379355,1,MANHATTAN
40379566,0,QUEENS
40379573,0,BRONX
40379580,0,MANHATTAN
40379620,0,MANHATTAN
40379628,0,MANHATTAN
40379662,1,MANHATTAN
40379746,0,MANHATTAN
40379890,1,MANHATTAN
40379894,0,BRONX
40379897,0,MANHATTAN
40379920,1,MANHATTAN
40379994,1,QUEENS
40380044,1,BROOKLYN
40380164,0,BRONX
40380182,1,MANHATTAN
40380253,0,BRONX
40380422,0,QUEENS
40380432,0,MANHATTAN
40380457,0,MANHATTAN
40380464,0,BROOKLYN
40380517,0,MANHATTAN
40380518,0,MANHATTAN
40380520,0,QUEENS
40380559,0,MANHATTAN
40380592,0,BROOKLYN
40380628,0,QUEENS
40380648,0,MANHATTAN
40380657,0,BROOKLYN
40380660,0,MANHATTAN
40380826,0,MANHATTAN
40380996,0,BROOKLYN
40381083,0,QUEENS
40381210,0,MANHATTAN
40381344,1,BROOKLYN
40381420,0,MANHATTAN
40381551,1,BROOKLYN
40381595,0,MANHATTAN
40381720,1,MANHATTAN
40381752,0,MANHATTAN
40381797,0,MANHATTAN
40381811,0,STATEN ISLAND
40382052,0,STATEN ISLAND
40382057,1,BROOKLYN
40382246,1,BROOKLYN
40382302,0,BROOKLYN
40382367,0,MANHATTAN
40382395,0,MANHATTAN
40382421,0,BROOKLYN
40382455,0,MANHATTAN
40382652,0,BRONX
40382679,0,MANHATTAN
40382802,0,MANHATTAN
40382876,0,BROOKLYN
40382877,0,MANHATTAN
40382900,1,BRONX
40383003,0,QUEENS
40383009,1,MANHATTAN
40383033,0,BROOKLYN
40383040,1,MANHATTAN
40383044,0,BROOKLYN
40383067,1,MANHATTAN
40383090,0,MANHATTAN
40383147,0,QUEENS
40383262,0,MANHATTAN
40383281,0,QUEENS
40383284,0,QUEENS
40383354,0,MANHATTAN
40383464,1,MANHATTAN
40383496,0,MANHATTAN
40383506,0,BROOKLYN
40383511,0,MANHATTAN
40383609,0,STATEN ISLAND
40383737,0,STATEN ISLAND
40383763,0,BROOKLYN
40383799,0,MANHATTAN
40383819,0,BRONX
40383825,1,MANHATTAN
40383836,1,QUEENS
40383931,0,MANHATTAN
40383945,0,STATEN ISLAND
40384036,0,BROOKLYN
40384100,0,MANHATTAN
40384115,0,QUEENS
40384188,0,MANHATTAN
40384222,0,MANHATTAN
40384323,0,QUEENS
40384340,0,MANHATTAN
40384421,0,MANHATTAN
40384441,0,BROOKLYN
40384458,0,QUEENS
40384507,1,BROOKLYN
40384525,0,QUEENS
40384528,1,MANHATTAN
40384575,0,BROOKLYN
40384662,1,BROOKLYN
40384671,0,MANHATTAN
40384757,0,MANHATTAN
40384820,1,QUEENS
40384920,0,QUEENS
40384961,0,BROOKLYN
40385057,0,BROOKLYN
40385065,0,STATEN ISLAND
40385157,0,MANHATTAN
40385161,1,MANHATTAN
40385461,1,MANHATTAN
40385515,1,MANHATTAN
40385555,0,BROOKLYN
40385575,0,MANHATTAN
40385580,0,MANHATTAN
40385584,1,QUEENS
40385587,0,MANHATTAN
40385606,1,MANHATTAN
40385680,0,BRONX
40385693,0,MANHATTAN
